,Unnamed: 0,Country,Clusters,Current account balance_Percent of GDP_average,Current account balance_U.S. dollars_average,General government gross debt_National currency_average,General government gross debt_Percent of GDP_average,General government net lending/borrowing_National currency_average,General government net lending/borrowing_Percent of GDP_average,General government primary net lending/borrowing_National currency_average,General government primary net lending/borrowing_Percent of GDP_average,General government revenue_National currency_average,General government revenue_Percent of GDP_average,General government total expenditure_National currency_average,General government total expenditure_Percent of GDP_average,Gross domestic product based on purchasing-power-parity (PPP) share of world total_Percent_average,"Gross domestic product corresponding to fiscal year, current prices_National currency_average","Gross domestic product per capita, constant prices_National currency_average","Gross domestic product per capita, constant prices_Purchasing power parity; 2017 international dollar_average","Gross domestic product per capita, current prices_National currency_average","Gross domestic product per capita, current prices_Purchasing power parity; international dollars_average","Gross domestic product per capita, current prices_U.S. dollars_average","Gross domestic product, constant prices_National currency_average","Gross domestic product, constant prices_Percent change_average","Gross domestic product, current prices_National currency_average","Gross domestic product, current prices_Purchasing power parity; international dollars_average","Gross domestic product, current prices_U.S. dollars_average","Gross domestic product, deflator_Index_average",Gross national savings_Percent of GDP_average,Implied PPP conversion rate_National currency per current international dollar_average,"Inflation, average consumer prices_Index_average","Inflation, average consumer prices_Percent change_average","Inflation, end of period consumer prices_Index_average","Inflation, end of period consumer prices_Percent change_average",Population_Persons_average,Total investment_Percent of GDP_average,Volume of Imports of goods_Percent change_average,Volume of exports of goods_Percent change_average,Volume of exports of goods and services_Percent change_average,Volume of imports of goods and services_Percent change_average
0,0,Afghanistan,3.0,11.835909090909093,2.145909090909091,89.84345454545455,7.64190909090909,-7.009818181818182,-0.5008181818181818,-6.345818181818182,-0.4437272727272727,303.4514545454545,25.38327272727273,310.4612727272727,25.88409090909091,0.0599090909090908,1178.270090909091,40934.20454545455,2436.314545454545,40933.85181818181,2367.092727272727,670.0392727272728,1167.6401818181816,4.164909090909091,1178.270090909091,67.89754545454547,18.96972727272728,99.85045454545455,32.88090909090909,17.24272727272727,101.47436363636363,4.519727272727272,104.32954545454544,4.676000000000001,28.50609090909091,21.044818181818183,6.5586363636363645,6.359818181818182,-0.3536363636363635,5.683727272727273
1,1,Albania,3.0,-9.221545454545454,-1.2047272727272729,1004.166,68.67854545454546,-49.20018181818182,-3.431818181818181,-10.973727272727274,-0.7598181818181818,385.04518181818185,26.391181818181817,434.2452727272728,29.822727272727278,0.0305454545454545,1454.4381818181816,259502.01000000004,12370.425454545451,503510.5918181818,11964.526363636363,4554.831818181819,749.6577272727274,2.0650909090909093,1454.4381818181816,34.55690909090909,13.159272727272723,193.69,16.927,42.28427272727273,99.79036363636364,2.0747272727272725,100.34372727272726,1.8277272727272724,2.889545454545454,26.692636363636367,1.0175454545454548,11.16490909090909,2.3732727272727283,-0.2781818181818181
2,2,Algeria,4.0,-5.366545454545455,-8.456909090909091,4019.57,21.726727272727278,-1031.8243636363636,-5.762636363636363,-1085.2745454545454,-6.100181818181818,5802.941818181818,33.98709090909092,6834.762727272727,39.74972727272728,0.442090909090909,17215.840909090908,171918.40181818185,11319.478181818182,428346.3636363637,12352.053636363637,4544.988181818182,6884.462727272727,1.992363636363636,17215.840909090908,492.645181818182,180.3734545454545,249.03618181818183,39.49372727272727,34.89636363636364,175.31527272727274,4.446272727272727,178.1058181818182,4.384090909090909,40.031818181818174,44.86881818181818,0.1010909090909092,-2.3204545454545453,-1.5826363636363636,-0.7259999999999998
4,4,Angola,2.0,3.407545454545455,3.497090909090909,14432.92181818182,64.68527272727273,-140.50972727272728,-0.2970000000000001,516.2857272727273,2.438909090909091,4693.868181818183,29.200454545454537,4834.379090909091,29.497636363636367,0.1775454545454545,18082.65363636364,56740.03454545454,7789.26090909091,652874.8918181818,7459.172727272727,4104.394545454546,1514.1654545454546,1.5363636363636357,18082.65363636364,200.13181818181815,108.1499090909091,1187.6776363636366,29.977454545454545,88.12718181818182,205.1730909090909,16.637363636363634,222.15554545454543,17.128,26.83163636363636,26.123545454545457,-5.699,-2.404272727272727,-2.4878181818181817,-7.688818181818181
6,6,Argentina,4.0,-1.905909090909091,-11.160363636363636,7261.532636363636,59.13,-565.0510909090909,-4.770363636363636,-324.39772727272725,-2.9295454545454547,3172.959,33.80154545454545,3738.0105454545455,38.57181818181818,0.793909090909091,9388.86,16232.784545454544,23226.13272727273,212206.84818181815,20719.16181818182,12498.830909090908,698.8116363636365,0.3551818181818183,9388.86,895.2246363636364,537.7757272727273,1375.8987272727272,15.327181818181822,9.86390909090909,224.5528888888889,24.551625,244.9833,25.39433333333333,43.113090909090914,17.233272727272727,2.792454545454545,0.2284545454545454,0.2264545454545454,2.7975454545454554
7,7,Armenia,4.0,-6.587818181818182,-0.7283636363636364,2338.2736363636363,45.028454545454544,-164.54118181818183,-3.297181818181818,-76.60318181818182,-1.6615454545454549,1123.3341818181818,22.191454545454544,1287.8726363636365,25.488636363636363,0.0274545454545454,5027.846363636363,1132441.1554545455,11152.619090909093,1690141.5945454545,10566.201818181818,3792.524545454545,3368.862727272728,3.4111818181818183,5027.846363636363,31.430090909090904,11.281454545454546,148.03081818181818,15.023545454545456,160.4950909090909,269.0189090909091,3.157181818181817,273.9730909090909,3.1097272727272727,2.975,21.611636363636364,3.755,11.313454545454544,8.346727272727275,3.155272727272727
9,9,Australia,4.0,-2.425181818181818,-33.98054545454546,634.393909090909,36.48927272727273,-61.95854545454545,-3.651181818181818,-49.133272727272725,-2.9092727272727275,577.1947272727274,34.097272727272724,639.153,37.74845454545454,1.0104545454545453,1685.95,74238.83272727273,48619.24090909091,69976.17454545455,47410.66818181819,58372.22,1784.8236363636368,2.144727272727273,1685.95,1142.5174545454545,1397.2536363636364,94.15845454545456,22.91809090909091,1.4767272727272729,107.13636363636364,2.001272727272727,107.96363636363635,1.9702727272727272,24.01190909090909,25.36318181818182,3.580454545454546,4.11890909090909,3.5429090909090903,2.58
10,10,Austria,4.0,2.073454545454545,8.72018181818182,277.9370909090909,80.39063636363636,-7.801909090909091,-2.2988181818181816,-2.005272727272727,-0.5883636363636363,169.84445454545454,48.97263636363637,177.64654545454547,51.27145454545455,0.3883636363636364,346.8064545454545,40287.88272727272,53721.87,40083.762727272726,50725.33272727273,48776.01545454546,348.1331818181818,0.850090909090909,346.8064545454545,439.1718181818181,421.3218181818182,99.42990909090908,26.405,0.7925454545454546,121.6489090909091,1.8547272727272728,121.83309090909091,1.8297272727272729,8.638818181818182,24.331454545454548,2.607,3.386181818181818,2.950363636363635,3.041636363636364
11,11,Azerbaijan,4.0,11.60763636363636,7.285363636363638,9.044727272727274,13.572636363636365,1.7309090909090907,3.054727272727273,1.978818181818182,3.407363636363636,23.93554545454545,38.67645454545455,22.204636363636368,35.62154545454546,0.1313636363636363,62.36818181818182,2971.7372727272723,14382.349090909092,6487.727272727273,15339.817272727274,5797.156363636364,28.425272727272727,1.080909090909091,62.36818181818182,146.6018181818182,55.08481818181818,218.6290909090909,34.12945454545454,0.426090909090909,209.4230909090909,5.045181818181819,214.8290909090909,4.91309090909091,9.566727272727274,23.319,6.56,-1.5610909090909095,-0.5941818181818183,6.399181818181819
12,12,Bahrain,3.0,0.2824545454545452,-0.0330000000000002,8.734545454545453,68.16490909090909,-1.375727272727273,-11.052636363636363,-1.0307272727272727,-8.38490909090909,2.6978181818181817,21.96154545454545,4.073545454545454,33.01436363636363,0.0602727272727272,12.33190909090909,8396.26090909091,48061.10636363637,9065.132727272729,49853.82181818182,24109.39545454545,11.427363636363635,2.667454545454545,12.33190909090909,67.67418181818181,32.79763636363636,107.88299999999998,29.54636363636364,0.1820909090909091,92.35472727272727,1.5570000000000002,92.44181818181818,1.4736363636363634,1.360090909090909,29.267090909090907,0.2765454545454542,1.4786363636363635,3.1903636363636365,2.495545454545454
