Current account balance_Percent of GDP_average,General government net lending/borrowing_Percent of GDP_average,General government revenue_Percent of GDP_average,General government total expenditure_Percent of GDP_average,"Gross domestic product per capita, current prices_U.S. dollars_average","Inflation, average consumer prices_Percent change_average",Population_Persons_average,Total investment_Percent of GDP_average,Gross national savings_Percent of GDP_average,HDI_Average,Education Index_average
11.835909090909093,-0.5008181818181818,25.38327272727273,25.88409090909091,670.0392727272728,4.519727272727272,28.50609090909091,21.044818181818183,32.88090909090909,0.4962,0.3983
-9.221545454545453,-3.431818181818181,26.39118181818181,29.82272727272728,4554.831818181819,2.0747272727272725,2.8895454545454538,26.69263636363637,16.927,0.7806,0.7365
-5.366545454545455,-5.762636363636362,33.98709090909092,39.74972727272728,4544.988181818182,4.446272727272726,40.03181818181817,44.86881818181818,39.49372727272728,0.7364,0.6524
3.407545454545455,-0.2970000000000001,29.200454545454537,29.49763636363637,4104.394545454546,16.637363636363634,26.83163636363636,26.12354545454545,29.977454545454545,0.5609,0.462
-1.905909090909091,-4.770363636363637,33.80154545454545,38.57181818181818,12498.830909090908,24.551625,43.11309090909091,17.233272727272727,15.327181818181822,0.8378,0.8317
-6.587818181818182,-3.297181818181818,22.191454545454544,25.488636363636363,3792.524545454545,3.157181818181817,2.975,21.611636363636364,15.023545454545454,0.763,0.7409
-2.4251818181818185,-3.651181818181818,34.097272727272724,37.74845454545454,58372.22,2.001272727272727,24.01190909090909,25.36318181818182,22.91809090909091,0.9368,0.919
2.073454545454545,-2.2988181818181816,48.97263636363637,51.27145454545455,48776.01545454546,1.8547272727272728,8.638818181818182,24.331454545454548,26.405,0.913,0.8522
11.60763636363636,3.054727272727273,38.67645454545455,35.62154545454546,5797.1563636363635,5.045181818181818,9.566727272727274,23.319000000000006,34.12945454545454,0.7417,0.6854
0.2824545454545452,-11.052636363636363,21.96154545454545,33.01436363636363,24109.39545454545,1.5570000000000002,1.360090909090909,29.26709090909091,29.54636363636364,0.8303,0.7168
-0.0290000000000001,-3.8170909090909086,10.301272727272726,14.118545454545455,1304.6045454545454,6.855090909090908,156.19372727272727,29.20190909090909,29.403909090909096,0.593,0.4783
-6.451454545454545,-5.335818181818183,27.67354545454545,33.00954545454545,16801.468181818185,3.5318181818181817,0.284090909090909,16.125636363636364,9.674272727272726,0.8073,0.7709
-4.808,-1.1537272727272727,38.718636363636364,39.872454545454545,6558.3499999999985,18.54418181818182,9.45309090909091,32.150090909090906,27.342272727272725,0.8121,0.8366
0.306,-3.317181818181818,51.27381818181818,54.59109090909092,45276.55,1.6957272727272723,11.228454545454547,24.04072727272727,24.34690909090909,0.9204,0.8866
-6.552181818181817,-3.5749090909090917,28.913,32.488090909090914,4567.613636363636,0.6417272727272727,0.3693636363636363,16.723090909090907,10.170818181818184,0.7068,0.6759
-4.844636363636363,-2.432272727272727,13.364454545454546,15.796818181818185,1173.2727272727273,1.4267272727272728,10.613999999999997,20.735,15.890454545454547,0.524,0.4529
-23.858,-1.1608181818181815,32.74881818181818,33.909454545454544,2827.355454545455,6.00909090909091,0.7091818181818182,53.24581818181819,28.29645454545455,0.6198,0.4529
-5.560818181818181,-1.1580909090909093,42.99045454545455,44.14845454545456,5298.5990909090915,0.5730000000000001,3.460363636363637,18.930636363636363,13.370272727272727,0.7575,0.6802
0.0789999999999998,-2.412818181818181,34.42972727272727,36.84254545454546,7043.319090909091,4.572090909090909,2.143181818181818,30.704090909090905,32.33081818181818,0.7069,0.6546
-2.7937272727272733,-6.476454545454545,32.143090909090915,38.61972727272728,10374.749090909088,5.585272727272726,203.39709090909085,18.199727272727284,15.406,0.7504,0.6644
0.877,-1.429181818181818,33.43790909090909,34.86718181818182,8174.262727272727,1.155,7.158090909090908,20.912454545454548,21.70954545454545,0.8041,0.7804
-4.348545454545453,-3.611727272727273,19.30790909090909,22.919727272727272,749.6380909090909,0.948181818181818,18.16827272727273,22.95136363636364,18.60318181818182,0.4188,0.2728
-13.560454545454546,-5.106000000000001,25.60227272727273,30.70836363636363,265.72245454545447,5.626181818181819,10.261454545454542,17.383363636363637,3.823,0.4299,0.4098
-9.678818181818183,-1.7108181818181818,20.510636363636362,22.221545454545456,1245.8673636363635,3.064,15.010636363636365,21.47863636363636,11.799636363636365,0.5668,0.4649
-3.450272727272727,-3.379272727272728,15.653363636363634,19.03236363636364,1429.0818181818186,1.879363636363636,23.35636363636364,28.4,25.00854545454545,0.54,0.5191
-2.805909090909092,-2.053,39.74463636363637,41.797363636363634,47619.49909090909,1.6486363636363637,35.82563636363636,23.69809090909091,20.89227272727273,0.9168,0.8711
-7.439545454545455,-1.5000909090909091,14.584727272727273,16.084818181818182,464.28609090909083,4.289181818181818,4.544090909090908,14.133909090909093,6.693818181818182,0.3791,0.3351
-7.802000000000001,-0.933181818181818,18.124454545454547,19.057636363636373,824.1553636363639,1.7425454545454544,14.138454545454545,25.606090909090906,17.804090909090913,0.3914,0.2804
-2.318,-1.7177272727272728,23.06890909090909,24.78672727272728,14456.738181818184,2.9254545454545453,18.094,23.224181818181812,21.03481818181818,0.8336,0.7767
1.8797272727272727,-3.180636363636364,27.425363636363635,30.60618181818182,7855.413636363635,2.5780000000000003,1381.6854545454544,44.63109090909092,46.51081818181819,0.7328,0.6331
-4.030272727272728,-2.8443636363636364,28.29063636363637,31.13472727272727,6980.778181818182,3.6251818181818174,46.68463636363636,22.13,18.09963636363636,0.7507,0.6599
