,Region,Country/Territory,2011,2021,Type,2015,2019,2010,Country Code,Year,Value,2017
131,Africa,Rwanda,3.1,6.5,Country,3.5,5.1,1.6,RWA,2017,4.28,4.3
132,Western Pacific,Samoa,7.7,9.2,Country,7.2,9.2,7.7,WSM,2017,9.21,9.2
133,Europe,San Marino,5.5,7.4,Country,9.0,5.9,5.9,SMR,2017,5.64,5.6
134,Africa,Sao Tome and Principe,5.5,5.5,Country,1.8,2.4,4.7,STP,2017,2.42,2.4
135,Middle East and North Africa,Saudi Arabia,19.6,18.7,Country,17.0,15.8,16.8,SAU,2017,17.72,17.7
136,Africa,Senegal,3.2,3.1,Country,1.8,2.4,4.7,SEN,2017,2.42,2.4
137,Europe,Serbia,7.7,9.1,Country,13.0,9.0,6.9,SRB,2017,10.08,10.1
138,Africa,Seychelles,12.1,8.5,Country,17.0,12.3,14.4,SYC,2017,10.55,10.6
139,Africa,Sierra Leone,3.2,2.1,Country,1.8,2.4,4.4,SLE,2017,2.42,2.4
140,Western Pacific,Singapore,9.5,11.6,Country,12.0,5.5,10.2,SGP,2017,10.99,11.0
141,Europe,Slovenia,7.5,5.8,Country,10.0,5.9,7.7,SVN,2017,7.25,7.2
142,Western Pacific,Solomon Islands,15.3,19.8,Country,13.0,19.0,3.3,SLB,2017,18.68,18.7
143,Africa,Somalia,4.3,6.5,Country,4.4,5.1,3.0,SOM,2017,6.05,6.0
144,Africa,South Africa,7.0,10.8,Country,7.0,12.7,4.5,ZAF,2017,5.52,5.5
145,Europe,Spain,6.3,10.3,Country,10.0,6.9,6.6,ESP,2017,7.17,7.2
146,South-East Asia,Sri Lanka,7.5,11.3,Country,8.5,10.7,10.9,LKA,2017,10.68,10.7
147,Middle East and North Africa,Sudan,8.6,18.9,Country,7.7,22.1,4.2,SDN,2017,15.67,15.7
148,North America and Caribbean,Suriname,8.9,12.7,Country,12.0,12.5,10.5,SUR,2017,12.54,12.5
149,Europe,Sweden,4.2,5.0,Country,6.3,4.8,5.2,SWE,2017,4.79,4.8
150,Europe,Switzerland,5.9,4.6,Country,7.7,5.7,8.9,CHE,2017,5.59,5.6
151,Europe,Tajikistan,6.3,6.6,Country,4.5,6.1,5.0,TJK,2017,7.11,7.1
152,Western Pacific,Thailand,7.5,9.7,Country,8.0,7.0,7.1,THA,2017,7.04,7.0
153,Africa,Togo,3.3,2.1,Country,4.0,2.4,4.3,TGO,2017,6.15,6.2
154,Western Pacific,Tonga,12.7,15.0,Country,12.0,15.7,13.4,TON,2017,15.42,15.4
155,North America and Caribbean,Trinidad and Tobago,12.7,12.7,Country,14.0,11.0,11.7,TTO,2017,10.97,11.0
156,Middle East and North Africa,Tunisia,9.5,9.6,Country,9.5,8.5,9.3,TUN,2017,8.52,8.5
157,Europe,Turkey,7.9,14.5,Country,12.0,11.1,8.0,TUR,2017,12.13,12.1
158,Europe,Turkmenistan,2.7,6.7,Country,5.2,6.1,5.3,TKM,2017,7.11,7.1
159,Western Pacific,Tuvalu,19.2,20.3,Country,17.0,22.1,13.9,TUV,2017,27.25,27.2
160,Africa,Uganda,2.8,4.6,Country,2.5,2.5,2.2,UGA,2017,2.5,2.5
161,Europe,Ukraine,2.9,5.6,Country,8.0,6.1,7.6,UKR,2017,7.11,7.1
162,Middle East and North Africa,United Arab Emirates,18.8,16.4,Country,14.0,16.3,18.7,ARE,2017,17.26,17.3
163,Europe,United Kingdom,5.2,6.3,Country,6.2,3.9,3.6,GBR,2017,4.28,4.3
164,South and Central America,Uruguay,5.7,9.0,Country,6.9,7.3,5.7,URY,2017,6.93,6.9
165,Europe,Uzbekistan,6.4,7.0,Country,5.2,6.5,5.2,UZB,2017,7.57,7.6
166,Western Pacific,Vanuatu,16.1,15.6,Country,14.0,11.9,3.2,VUT,2017,12.02,12.0
167,Africa,Zambia,4.8,11.9,Country,3.1,4.5,4.0,ZMB,2017,3.94,3.9
168,Africa,Zimbabwe,9.8,2.1,Country,2.9,1.8,4.1,ZWE,2017,1.82,1.8
