Country,Current account balance_Percent of GDP_average,Current account balance_U.S. dollars_average,General government gross debt_National currency_average,General government gross debt_Percent of GDP_average,General government net lending/borrowing_National currency_average,General government net lending/borrowing_Percent of GDP_average,General government primary net lending/borrowing_National currency_average,General government primary net lending/borrowing_Percent of GDP_average,General government revenue_National currency_average,General government revenue_Percent of GDP_average,General government total expenditure_National currency_average,General government total expenditure_Percent of GDP_average,Gross domestic product based on purchasing-power-parity (PPP) share of world total_Percent_average,"Gross domestic product corresponding to fiscal year, current prices_National currency_average","Gross domestic product per capita, constant prices_National currency_average","Gross domestic product per capita, constant prices_Purchasing power parity; 2017 international dollar_average","Gross domestic product per capita, current prices_National currency_average","Gross domestic product per capita, current prices_Purchasing power parity; international dollars_average","Gross domestic product per capita, current prices_U.S. dollars_average","Gross domestic product, constant prices_National currency_average","Gross domestic product, constant prices_Percent change_average","Gross domestic product, current prices_National currency_average","Gross domestic product, current prices_Purchasing power parity; international dollars_average","Gross domestic product, current prices_U.S. dollars_average","Gross domestic product, deflator_Index_average",Gross national savings_Percent of GDP_average,Implied PPP conversion rate_National currency per current international dollar_average,"Inflation, average consumer prices_Index_average","Inflation, average consumer prices_Percent change_average","Inflation, end of period consumer prices_Index_average","Inflation, end of period consumer prices_Percent change_average",Population_Persons_average,Total investment_Percent of GDP_average,Volume of Imports of goods_Percent change_average,Volume of exports of goods_Percent change_average,Volume of exports of goods and services_Percent change_average,Volume of imports of goods and services_Percent change_average,Region,cluster,HDI_Average,Education Index_average
Lesotho,-5.684181818181819,-0.1358181818181818,11.807272727272727,42.66881818181818,-1.0863636363636364,-4.391363636363637,-0.8311818181818182,-3.4957272727272732,13.815909090909093,50.848636363636366,14.902272727272726,55.23990909090909,0.0048181818181818,27.092181818181814,10443.016363636363,2673.2054545454544,13534.928181818179,2736.0518181818184,1166.1234545454545,20.82890909090909,1.2389090909090907,27.092181818181814,5.461454545454546,2.322090909090909,129.31481818181817,20.74890909090909,4.923272727272729,95.85136363636364,4.9089090909090904,98.0081818181818,5.064636363636363,1.9941818181818176,26.43309090909091,1.0936363636363635,1.0294545454545456,0.6850909090909092,0.965,Africa,2,0.4977,0.5142
Luxembourg,5.148363636363637,3.229636363636364,11.45418181818182,21.79836363636364,0.4307272727272727,0.8295454545454547,0.3066363636363636,0.5897272727272728,22.999000000000002,43.96245454545454,22.568454545454546,43.13281818181818,0.0527272727272727,52.29436363636364,81764.44363636362,111625.19272727273,92289.59727272726,105721.83,112206.43,46.13154545454545,2.7070909090909088,52.29436363636364,59.98499999999999,63.27063636363636,112.75063636363636,23.62118181818182,0.8747272727272729,100.11854545454548,1.608,100.74636363636364,1.5027272727272725,0.5634545454545455,18.472727272727283,2.3280000000000003,1.926,4.603,5.018909090909091,Europe,3,0.9058,0.7896
Madagascar,-3.4888181818181816,-0.4077272727272726,13665.590909090906,37.84018181818183,-766.6859090909091,-2.1366363636363634,-526.7682727272727,-1.4624545454545457,4123.874545454546,11.390545454545455,4890.5590909090915,13.527454545454544,0.034,35098.59727272727,774466.880909091,1545.0818181818179,1408922.0909090908,1566.019090909091,504.1066363636364,18935.97909090909,2.1265454545454543,35098.59727272727,38.348454545454544,12.313909090909094,182.02827272727268,15.297000000000002,897.3645454545457,96.85709090909091,6.982636363636365,99.81654545454543,6.796363636363636,24.460363636363635,18.78572727272727,3.8681818181818177,-3.760727272727273,-6.4786363636363635,1.580454545454546,Africa,2,0.52,0.4904
Malawi,-10.367636363636363,-0.991,1958.9675454545447,35.88554545454546,-225.75627272727272,-3.786727272727273,-95.03090909090908,-1.357,735.9390000000002,15.857272727272727,961.6943636363637,19.64381818181818,0.0223636363636363,4787.710909090909,336442.14909090905,1340.01,252989.1963636364,1390.2463636363634,522.5514545454546,6133.840909090909,4.044272727272727,4787.33909090909,25.32472727272728,9.462,74.25845454545455,-0.7084545454545456,180.7382727272728,75.42090909090908,15.521818181818185,76.96754545454544,16.29509090909091,18.183818181818182,8.592090909090906,6.306454545454546,1.8836363636363629,1.8836363636363629,6.306454545454546,Africa,2,0.4612,0.4503
Malaysia,4.697545454545455,14.607363636363635,670.1176363636364,55.92981818181818,-36.897181818181814,-3.1550909090909087,-16.958,-1.5171818181818182,258.70918181818183,22.021454545454546,295.60645454545465,25.17654545454545,0.6771818181818182,1188.597090909091,37672.669999999984,24017.992727272725,38128.59272727273,24678.68,10360.24909090909,1172.1708181818185,4.354636363636365,1188.597090909091,767.8630909090907,321.2060909090909,100.77463636363638,28.876636363636365,1.5388181818181819,112.3150909090909,1.8434545454545457,113.46363636363634,1.8107272727272727,30.97918181818181,24.179181818181814,4.065181818181818,3.8105454545454553,2.1500909090909093,2.328090909090909,Western Pacific,4,0.7923,0.7086
Maldives,-15.841909090909093,-0.6841818181818181,41.64890909090909,68.264,-4.516818181818182,-7.939727272727272,-3.455636363636364,-6.126181818181819,15.539636363636365,25.56172727272727,20.056454545454546,33.501363636363635,0.0063636363636363,59.54963636363636,166628.21181818182,22393.863636363643,169357.63636363635,21050.104545454542,11116.684545454546,58.27063636363636,2.9570909090909083,59.54963636363636,7.398272727272728,3.9048181818181815,100.47354545454546,4.158090909090908,8.01090909090909,90.94381818181816,3.663818181818182,92.47836363636364,3.5160909090909103,0.3483636363636364,20.0,7.787909090909091,9.623,5.4861818181818185,8.243272727272727,South-East Asia,6,0.7170000000000001,0.5433
Mali,-5.271727272727274,-0.7391818181818182,2627.2154545454546,32.218545454545456,-241.0952727272728,-2.9676363636363634,-181.8511818181818,-2.256272727272727,1435.4136363636364,18.106727272727284,1676.5100909090909,21.074454545454547,0.032,7821.861818181819,263170.93000000005,2215.599090909091,454970.1754545455,2123.5227272727275,841.1717272727274,4494.996363636365,3.858727272727272,7821.861818181819,36.50872727272728,14.372000000000005,172.43618181818184,15.532272727272728,214.3801818181818,141.06300000000005,0.9808181818181816,139.46663636363635,0.9409090909090906,17.014545454545456,20.804181818181817,9.019272727272726,5.931727272727272,5.600727272727271,10.206181818181818,Africa,2,0.4197,0.2814
Malta,2.1674545454545453,0.296090909090909,5.4569090909090905,56.62890909090909,-0.1402727272727273,-1.527818181818182,0.0679090909090909,0.7125454545454545,3.7269090909090905,37.30863636363637,3.8672727272727268,38.836636363636366,0.015090909090908999,10.036909090909091,22123.725454545453,39762.40818181818,22114.78545454545,38025.69181818182,26670.894545454546,9.990999999999998,4.653090909090909,10.036909090909091,17.25890909090909,12.052909090909088,99.152,22.853181818181817,0.5814545454545456,99.89836363636364,1.5380909090909092,98.56545454545451,1.4453636363636362,0.4485454545454544,20.68563636363636,4.2046363636363635,4.59690909090909,4.59690909090909,4.2046363636363635,Europe,5,0.8749,0.7976
Mauritania,-12.385636363636365,-0.8524545454545454,115.98390909090908,50.50354545454545,1.5993636363636363,0.4586363636363636,3.5736363636363637,1.3245454545454545,47.10963636363636,20.74745454545455,45.51036363636364,20.28863636363636,0.017090909090908997,225.18918181818185,56158.627272727266,5429.235454545455,60233.656363636364,5210.60090909091,1858.4145454545453,209.24381818181817,3.741272727272728,225.18918181818185,19.482818181818182,6.896181818181819,107.01100000000001,31.98754545454545,11.566636363636364,158.7888181818182,3.327545454545455,160.33154545454545,3.033181818181818,3.7110909090909088,40.60954545454546,8.502636363636364,5.00690909090909,5.00690909090909,8.502636363636364,Africa,2,0.5293,0.3752
Mauritius,-6.923181818181818,-0.8196363636363636,275.9888181818182,66.00272727272727,-17.200545454545455,-4.077545454545455,-6.542999999999999,-1.4792727272727269,87.80145454545455,21.194454545454548,105.00209090909092,25.27209090909091,0.0216363636363636,412.22990909090913,250973.61181818185,19685.007272727267,321743.4563636364,19460.52363636364,9692.334545454543,316.54327272727267,2.012272727272728,405.88972727272727,24.54836363636364,12.223272727272727,127.64654545454545,17.065818181818184,16.50390909090909,94.89045454545456,2.9299090909090912,95.23763636363634,2.8813636363636363,1.2609090909090908,20.84436363636364,3.1348181818181824,-0.4540909090909091,-1.7657272727272726,2.8951818181818183,South-East Asia,4,0.7835,0.7128
